Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, 
266757, 2255033.387037604, 0, 268491, 2116894.4808735764, 0, 261823, 2192389.003259695, 0, 263118, 2151616.9884088705, 0, 277013, 2359027.0668531116, 0, 260975, 2139649.4462316656, 0, 269906, 2195112.618783892, 0, 264668, 2236240.6884887773, 0, 262621, 2276628.7873977446, 0, 270355, 2313129.933055238, 0, 
266757, 2249108.159775013, 1, 268491, 2107459.1318581565, 1, 261064, 2162104.116392106, 1, 263118, 2146394.3550913017, 1, 277013, 2353430.0680178874, 1, 260975, 2130316.8418066753, 1, 269906, 2183019.8491841946, 1, 266264, 2229268.4242619155, 1, 262621, 2262754.0234169797, 1, 266684, 2261818.2924295296, 1, 
266757, 2225695.565306865, 2, 271978, 2117048.344921148, 2, 261064, 2158889.218372399, 2, 263118, 2141599.531551618, 2, 277476, 2352636.572473101, 2, 261491, 2120908.6860957406, 2, 270868, 2179419.9127230463, 2, 266264, 2217891.1107603908, 2, 262621, 2250718.33595759, 2, 267630, 2248759.8240079097, 2, 
266757, 2214881.1879867916, 3, 272560, 2113261.7658372913, 3, 261064, 2145364.9425873794, 3, 261532, 2105965.0927585294, 3, 277476, 2335667.993666532, 3, 261491, 2109469.108389641, 3, 270868, 2170235.0446820883, 3, 266264, 2207166.6434848076, 3, 260031, 2217970.38320467, 3, 268512, 2238048.2528934134, 3, 
266757, 2205244.4015993965, 4, 272560, 2104091.1712474357, 4, 261064, 2135072.9918783978, 4, 261532, 2096903.6982002452, 4, 277966, 2325571.003288699, 4, 261055, 2091583.7313137315, 4, 268715, 2128573.6464004, 4, 264727, 2195085.863110628, 4, 260031, 2201665.7629780504, 4, 267173, 2214232.155548825, 4, 
266757, 2195946.932083224, 5, 272560, 2095881.497904427, 5, 262106, 2118569.5566233415, 5, 261532, 2094243.3418654948, 5, 277966, 2318414.2756767413, 5, 261055, 2081640.792145292, 5, 268715, 2113897.2201227187, 5, 264727, 2184429.8588366713, 5, 258671, 2176374.9595649475, 5, 266835, 2197762.031896214, 5, 
266757, 2189024.3017936596, 6, 272560, 2089951.7838641987, 6, 260430, 2089037.771989792, 6, 260223, 2071106.548032596, 6, 274966, 2272603.91506926, 6, 261512, 2059205.556589086, 6, 268715, 2106724.2435492547, 6, 264727, 2173925.4806664814, 6, 258671, 2162833.8484536363, 6, 266835, 2185010.488993949, 6, 
264424, 2173265.5115571963, 7, 272560, 2078532.7396602808, 7, 260430, 2080186.8508116493, 7, 260223, 2055954.4793657267, 7, 274966, 2267254.457343863, 7, 261093, 2051094.6259798056, 7, 268715, 2101002.150192986, 7, 264727, 2164150.090101564, 7, 256458, 2105895.3991313246, 7, 267945, 2180328.816496821, 7, 
264424, 2160441.202264485, 8, 272560, 2062503.5789716807, 8, 259262, 2070018.5033013849, 8, 260223, 2048039.4266748095, 8, 275284, 2253447.783486716, 8, 261093, 2048463.3899967254, 8, 268715, 2093768.311465096, 8, 263957, 2135477.732256756, 8, 256458, 2098796.6391452802, 8, 267945, 2167907.097383808, 8, 
266353, 2156342.582769002, 9, 267084, 2008230.4830164474, 9, 259262, 2063524.9169143601, 9, 260223, 2042723.4156470224, 9, 275284, 2238813.83420352, 9, 261093, 2040132.9160439784, 9, 268846, 2085350.6913812647, 9, 263957, 2126909.770609497, 9, 256458, 2090481.0661335038, 9, 269224, 2162987.59234522, 9, 
