Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 2, -2.182824965E9
Tu bedzie ED, 3, -2.182831265E9
Tu bedzie ED, 4, -2.182841893E9
Tu bedzie ED, 4, -2.18284366E9
Tu bedzie ED, 4, -2.197688393E9
Tu bedzie ED, 2, -2.168077048E9
Tu bedzie ED, 5, -2.197728937E9
Tu bedzie ED, 4, -2.197740821E9
Tu bedzie ED, 2, -2.197772543E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 2, -2.182989735E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 2, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 3, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 2, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 2, -2.147483648E9
Tu bedzie ED, 3, -2.183047209E9
Tu bedzie ED, 3, -2.183047209E9
Tu bedzie ED, 2, -2.183047209E9
Tu bedzie ED, 3, -2.183047209E9
Tu bedzie ED, 4, -2.183047209E9
Tu bedzie ED, 3, -2.183047209E9
Tu bedzie ED, 1, -2.147483648E9
Tu bedzie ED, 2, -2.183053199E9
Tu bedzie ED, 4, -2.183053199E9
Tu bedzie ED, 3, -2.183056741E9
Tu bedzie ED, 5, -2.197939953E9
Tu bedzie ED, 10, -2.19794571E9
Tu bedzie ED, 2, -2.18306548E9
Tu bedzie ED, 4, -2.18306548E9
Tu bedzie ED, 6, -2.18306548E9
Tu bedzie ED, 2, -2.183066188E9
Tu bedzie ED, 2, -2.183070205E9
Tu bedzie ED, 2, -2.183070205E9
Tu bedzie ED, 5, -2.1979573E9
Tu bedzie ED, 3, -2.183079702E9
Tu bedzie ED, 8, -2.183079702E9
Tu bedzie ED, 10, -2.197972512E9
Tu bedzie ED, 18, -2.197972512E9
Tu bedzie ED, 39, -2.197972512E9
Tu bedzie ED, 12, -2.197974716E9
Tu bedzie ED, 10, -2.197974716E9
Tu bedzie ED, 16, -2.197975295E9
Tu bedzie ED, 30, -2.197975295E9
Tu bedzie ED, 3, -2.197976367E9
Tu bedzie ED, 5, -2.197965294E9
Tu bedzie ED, 8, -2.197965294E9
Tu bedzie ED, 12, -2.197965294E9
Tu bedzie ED, 17, -2.197965294E9
Tu bedzie ED, 9, -2.197966409E9
Tu bedzie ED, 16, -2.197967066E9
Tu bedzie ED, 22, -2.197967949E9
Tu bedzie ED, 6, -2.197981959E9
Tu bedzie ED, 9, -2.197981959E9
Tu bedzie ED, 15, -2.197981959E9
Tu bedzie ED, 27, -2.197972662E9
Tu bedzie ED, 22, -2.197975958E9
Tu bedzie ED, 6, -2.197976903E9
Tu bedzie ED, 8, -2.1979782E9
Tu bedzie ED, 12, -2.197980356E9
Tu bedzie ED, 22, -2.197980356E9
Tu bedzie ED, 30, -2.197984023E9
Tu bedzie ED, 7, -2.197987695E9
Tu bedzie ED, 4, -2.197987695E9
Tu bedzie ED, 5, -2.197987695E9
Tu bedzie ED, 4, -2.198000529E9
Tu bedzie ED, 6, -2.198000529E9
Tu bedzie ED, 6, -2.198001511E9
Tu bedzie ED, 10, -2.198000294E9
Tu bedzie ED, 8, -2.198003563E9
Tu bedzie ED, 10, -2.198006982E9
Tu bedzie ED, 16, -2.198006982E9
