4456460.131469514, 18, 3.099551252E9
4458741.272940253, 33, 3.472320054E9
4380000. 4390.0, 4380. 57699.69908933668

First population front
Czas podrozy, Zarobek, Stworzony w generacji
48567.38571763054, 1052573, 1
49848.805911283445, 1054447, 1
49869.55357901575, 1061246, 0
50338.37874797476, 1064953, 1
50356.506509314604, 1068275, 1
50870.737341080094, 1072919, 1
51296.38897444515, 1073028, 1
51706.00331690635, 1073328, 0
52223.28582943727, 1076439, 1
54253.537249838766, 1078071, 1

Middle population front

Last population front
Czas podrozy, Zarobek, Stworzony w generacji
46611.08814942082, 1050302, 26
47069.56224746043, 1055450, 28
47375.13064968248, 1055607, 23
47677.436960452345, 1057538, 28
47808.600860026076, 1060201, 22
48203.76468069968, 1061307, 34
48217.03409194553, 1061673, 38
48218.83666597723, 1066520, 28
48526.45447757529, 1069851, 37
49488.59956487247, 1071048, 35
49661.89764860209, 1071162, 36
49948.68591272234, 1071395, 34
50069.873116229595, 1071670, 27
50167.4682014772, 1071779, 25
50250.3396757203, 1072581, 13
50292.73532012835, 1074080, 30
50387.12007659845, 1074950, 34
50651.47760366086, 1075651, 12
50661.62577720609, 1075889, 29
51127.31036387367, 1078101, 34
51549.432034447746, 1078125, 22
51699.28606116826, 1078341, 8
51730.22390693271, 1078942, 12
51879.93242937571, 1080491, 27
51964.78138306741, 1081307, 20
52379.08439032223, 1082900, 26
52828.67990984983, 1083829, 24
54842.18335996412, 1085335, 39
54994.031132359036, 1087081, 31

