Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, 
266787, 2240915.8955934127, 0, 273850, 2321418.113651896, 0, 265845, 2190755.129736578, 0, 268269, 2252368.196905198, 0, 264505, 2242417.7776325154, 0, 267119, 2215488.7099867417, 0, 268137, 2206286.690506038, 0, 266492, 2283767.5257857074, 0, 271855, 2286058.5691651544, 0, 266021, 2181125.070193401, 0, 
267945, 2237580.682268454, 1, 273850, 2313232.2798753614, 1, 263662, 2174409.303784147, 1, 269543, 2249455.8078768905, 1, 264505, 2232254.905407798, 1, 267119, 2206493.8249626285, 1, 268137, 2196127.6697243834, 1, 266847, 2276043.982135016, 1, 271855, 2271659.540942713, 1, 266678, 2179600.039012666, 1, 
266697, 2207744.796409054, 2, 272824, 2289489.266101435, 2, 266742, 2202132.9262785306, 2, 269543, 2240695.516912931, 2, 264505, 2225979.0846849917, 2, 267119, 2201466.8194453255, 2, 269215, 2191945.4807268255, 2, 266847, 2263224.4667305434, 2, 272222, 2262229.522132388, 2, 266678, 2171597.29174935, 2, 
266229, 2199198.6635602238, 3, 272824, 2282639.223542846, 3, 266742, 2190709.5545549346, 3, 269543, 2229042.2491066866, 3, 264505, 2224721.3971809475, 3, 266373, 2180691.371576822, 3, 269215, 2183847.5134018566, 3, 266847, 2257863.8476254595, 3, 271887, 2251584.1990095964, 3, 266678, 2166458.2300307183, 3, 
261976, 2133015.2894771355, 4, 272824, 2277350.276577922, 4, 266742, 2170284.0863360823, 4, 269543, 2224707.018626458, 4, 259553, 2111656.9198293793, 4, 266373, 2166464.7429538937, 4, 269877, 2181915.615072757, 4, 266360, 2232755.4228939507, 4, 271887, 2248289.504373792, 4, 266678, 2160694.181911522, 4, 
261976, 2125840.4542782675, 5, 272824, 2259916.3643984264, 5, 268250, 2143416.1207987927, 5, 269543, 2216510.5480763903, 5, 259972, 2103408.577385751, 5, 264133, 2141789.0958485017, 5, 266870, 2137257.085634387, 5, 266360, 2219114.45852554, 5, 272859, 2244826.4195081145, 5, 266678, 2158226.611201292, 5, 
257956, 2046257.3548730623, 6, 273175, 2243836.5596014755, 6, 268250, 2134412.8257195167, 6, 266462, 2119922.0165596073, 6, 259972, 2093501.4046399654, 6, 264133, 2132946.7907473273, 6, 266870, 2134126.653161555, 6, 266360, 2205576.149234109, 6, 272859, 2226466.611782668, 6, 266678, 2153584.4766251096, 6, 
257956, 2038822.0582862399, 7, 273175, 2230015.3828428546, 7, 268250, 2126753.1504396587, 7, 266462, 2106708.4606934576, 7, 259972, 2081655.6673255663, 7, 265191, 2129598.4052493093, 7, 266870, 2128383.4472110406, 7, 266360, 2200471.7974648066, 7, 272859, 2222874.840646916, 7, 266678, 2147645.3281245846, 7, 
258447, 2032977.5421418212, 8, 274004, 2226141.0190059557, 8, 268978, 2127657.038023043, 8, 266462, 2083872.2894511458, 8, 260454, 2067242.301723858, 8, 265191, 2127915.262282682, 8, 268793, 2119229.8398512593, 8, 265079, 2182100.2845571428, 8, 273658, 2220936.934383229, 8, 266678, 2140705.0738752354, 8, 
260030, 2031250.6452697716, 9, 274004, 2211944.974191835, 9, 268978, 2118064.0401256513, 9, 266462, 2076671.1153996142, 9, 260454, 2060642.5210378694, 9, 265191, 2122138.1966906358, 9, 268338, 2108851.7513285116, 9, 265191, 2172149.0980285024, 9, 273658, 2211356.696269271, 9, 264558, 2120145.7541819126, 9, 
260030, 2016822.9727709154, 10, 275048, 2206515.812033632, 10, 268978, 2099791.2673060275, 10, 268712, 2072951.335733825, 10, 261627, 2049108.938135416, 10, 265221, 2100352.8645425616, 10, 268338, 2095806.3980612955, 10, 265191, 2150306.041223865, 10, 273658, 2205097.984726542, 10, 264558, 2113447.54484839, 10, 
260030, 1996919.9263607964, 11, 275048, 2197143.303057281, 11, 268978, 2091109.559203385, 11, 268712, 2064109.3450766804, 11, 261627, 2044568.3056642492, 11, 264331, 2069290.9245708494, 11, 268022, 2089076.2449520559, 11, 264535, 2127636.510347193, 11, 273425, 2197991.9559898726, 11, 264558, 2103957.991063675, 11, 
260030, 1989123.209251312, 12, 275048, 2191130.2117177662, 12, 268978, 2084390.0261030719, 12, 268712, 2057185.790935645, 12, 261627, 2032730.1940272148, 12, 264331, 2056020.1375700226, 12, 268022, 2070854.2817719283, 12, 264454, 2117498.364751682, 12, 271100, 2148322.2424754044, 12, 265108, 2100271.9005796826, 12, 
260030, 1983098.7204159605, 13, 275337, 2189058.6881204597, 13, 268978, 2075079.500995028, 13, 268712, 2036432.6088446013, 13, 256700, 1982423.056716951, 13, 264331, 2051432.1043245755, 13, 268022, 2060762.4103928215, 13, 264454, 2110880.8221787293, 13, 271100, 2131334.7983149206, 13, 265108, 2087362.4647457039, 13, 
260030, 1978480.7580206904, 14, 275337, 2183259.0220684004, 14, 268978, 2069064.927461202, 14, 268712, 2026491.8756095294, 14, 256700, 1975699.9631096215, 14, 264331, 2048342.8782406505, 14, 269351, 2051805.7119707062, 14, 264454, 2104020.322776635, 14, 271100, 2120559.1632735357, 14, 263575, 2060072.911258804, 14, 
260030, 1971134.9735258636, 15, 275337, 2178999.3786219237, 15, 268978, 2058944.47336458, 15, 268712, 2025941.9384104146, 15, 256700, 1951795.228263009, 15, 264331, 2034682.5058795584, 15, 269351, 2041752.6370938586, 15, 264454, 2099630.81638625, 15, 271100, 2113916.663091415, 15, 262338, 2048499.4478444073, 15, 
260742, 1961353.3832066779, 16, 275337, 2166465.9782719486, 16, 267411, 2037067.5553433166, 16, 268712, 2023872.0578822184, 16, 256700, 1944923.9678187103, 16, 264331, 2030135.2048367308, 16, 269351, 2038360.9456075663, 16, 264454, 2094468.3020520024, 16, 271100, 2106591.1685605966, 16, 263210, 2041061.050024372, 16, 
259363, 1936625.0148868375, 17, 275337, 2159745.9113571844, 17, 267495, 2032776.819914573, 17, 267954, 2012327.0844666327, 17, 258139, 1937884.2102809742, 17, 264331, 2023147.4197630526, 17, 269717, 2034948.764573709, 17, 263866, 2082905.8742544707, 17, 271100, 2091743.1617020848, 17, 263210, 2012138.3774601016, 17, 
259363, 1929054.9646059098, 18, 268836, 2069470.4948877892, 18, 267751, 2024153.6095599239, 18, 267954, 2005715.8000283435, 18, 257152, 1931205.8038658483, 18, 263949, 2018456.858741952, 18, 270285, 2032193.805882935, 18, 260280, 2022346.4721421837, 18, 271100, 2087167.8279104237, 18, 263210, 2002545.3693483968, 18, 
259363, 1913636.9398933616, 19, 270434, 2057519.8060275961, 19, 267751, 2015932.265757552, 19, 265189, 1971848.3793641005, 19, 256773, 1925046.9867864521, 19, 260822, 1991760.3059374269, 19, 270285, 2029211.2625747987, 19, 260280, 2019121.5824771537, 19, 271100, 2078452.8991993726, 19, 263210, 1998141.4775784693, 19, 
259617, 1912232.2118996377, 20, 270434, 2046346.954314755, 20, 267751, 2010896.3504536473, 20, 267138, 1964768.6454444649, 20, 256773, 1920737.5337745051, 20, 262419, 1986767.5465356517, 20, 270285, 2025170.075368066, 20, 260280, 2012309.3445457644, 20, 271100, 2063244.5306667998, 20, 263210, 1990295.5139691927, 20, 
259617, 1904307.0733376276, 21, 268949, 2027244.8092928375, 21, 267751, 2004893.8873398504, 21, 269002, 1965779.3511716884, 21, 256773, 1907653.7591487872, 21, 262419, 1980436.9438865974, 21, 270285, 2018982.54731812, 21, 260280, 2008557.1233339426, 21, 271100, 2060645.1538758776, 21, 264611, 1984409.9197212434, 21, 
