Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, 
266749, 2295367.4146558475, 0, 268384, 2257024.483416541, 0, 267422, 2209468.7241186392, 0, 269313, 2257312.717143235, 0, 269436, 2254136.8642449942, 0, 270238, 2263239.0265254816, 0, 259056, 2127137.441928835, 0, 270497, 2227863.315517972, 0, 261421, 2209467.483086347, 0, 256506, 2140251.262742042, 0, 
266102, 2285768.822047124, 1, 264881, 2207632.203034102, 1, 268813, 2197466.844122799, 1, 269313, 2249090.457753011, 1, 269436, 2242709.1303315186, 1, 270238, 2254355.8543457333, 1, 262110, 2113250.2734920634, 1, 270497, 2223733.3668975774, 1, 260497, 2193327.972722219, 1, 258150, 2121966.1014516368, 1, 
264042, 2253726.9318557233, 2, 264881, 2200485.932203742, 2, 269232, 2186784.1103066197, 2, 269313, 2235144.224962618, 2, 269436, 2238677.370774811, 2, 270507, 2247465.123916944, 2, 262110, 2100022.299608524, 2, 270497, 2214721.8700253987, 2, 260497, 2178319.0117408484, 2, 258150, 2118254.054544276, 2, 
264042, 2237275.6155929225, 3, 265207, 2196699.56326144, 3, 268770, 2177980.5512443515, 3, 269338, 2219002.62765679, 3, 269436, 2229699.1484496826, 3, 270620, 2239900.294521993, 3, 262110, 2090923.0130297586, 3, 271457, 2207938.6145524736, 3, 260979, 2172139.723715292, 3, 258150, 2105286.768523475, 3, 
264042, 2228806.1744140326, 4, 265706, 2194410.6560540535, 4, 268770, 2161394.519398695, 4, 269338, 2207837.419360375, 4, 269534, 2215854.00027421, 4, 267990, 2193034.6358005456, 4, 262110, 2081067.7387133094, 4, 271504, 2200561.231576224, 4, 260979, 2160246.4138604207, 4, 255582, 2065928.6246003455, 4, 
264685, 2219950.894694058, 5, 265706, 2187204.338875709, 5, 266618, 2129772.270315322, 5, 265778, 2157080.274101562, 5, 267661, 2193084.4987118538, 5, 270941, 2196017.128371842, 5, 262110, 2074078.538724363, 5, 272355, 2198740.950625187, 5, 260979, 2152354.919834076, 5, 255582, 2055757.471792145, 5, 
264685, 2204763.9896477857, 6, 265706, 2175724.5588069814, 6, 263428, 2091129.5358071467, 6, 265778, 2142437.466198788, 6, 268316, 2191596.786602407, 6, 272206, 2189657.4210653966, 6, 262110, 2064654.2177013343, 6, 272355, 2186210.5385548417, 6, 260724, 2136288.5388497743, 6, 260077, 2080224.7815023144, 6, 
264685, 2196044.5525997067, 7, 265706, 2169253.475935261, 7, 265043, 2093248.3944132042, 7, 265778, 2135667.3422179813, 7, 267826, 2182293.359914045, 7, 268835, 2166789.3684835467, 7, 262110, 2058368.688085397, 7, 270525, 2155601.847705622, 7, 260724, 2125553.584386256, 7, 260077, 2078304.401464635, 7, 
264685, 2190722.812416713, 8, 265706, 2158306.755389214, 8, 265043, 2087532.4935086647, 8, 265778, 2125803.2993480084, 8, 267826, 2172742.599244274, 8, 268835, 2160485.698617904, 8, 263057, 2056456.5858539692, 8, 270119, 2142241.4522308665, 8, 263678, 2117342.535060468, 8, 260077, 2063770.3853391856, 8, 
260295, 2084657.3766671335, 9, 265706, 2149014.1313274354, 9, 265074, 2084118.9537098282, 9, 264521, 2100122.072690604, 9, 268937, 2159246.24403037, 9, 268835, 2148318.1175669706, 9, 262205, 2046874.903213707, 9, 271603, 2142725.7240161183, 9, 257153, 2074612.8337772323, 9, 260077, 2052875.5645169038, 9, 
261085, 2079385.495297348, 10, 265706, 2131694.8095494867, 10, 265074, 2069757.7451210609, 10, 261432, 2061509.570303654, 10, 268937, 2154165.0486554904, 10, 268835, 2141417.291996613, 10, 262205, 2038032.2118151032, 10, 271603, 2140052.3148521064, 10, 257153, 2064345.5768441989, 10, 260077, 2047977.626671106, 10, 
261085, 2069069.5483197595, 11, 265706, 2115076.7795222746, 11, 265074, 2064447.4082024884, 11, 261432, 2050960.1317393042, 11, 266707, 2119919.9983957587, 11, 268835, 2118706.346261317, 11, 262205, 2033784.256608098, 11, 271603, 2136445.1950862342, 11, 257153, 2057777.139717844, 11, 259526, 2039519.8526963708, 11, 
261085, 2063342.527819526, 12, 265706, 2110070.8231218993, 12, 265074, 2058191.732287066, 12, 261045, 2039290.30930936, 12, 266707, 2113177.891180489, 12, 268835, 2115007.9901852463, 12, 262205, 2023405.7922974082, 12, 271599, 2129195.1503456603, 12, 257904, 2049220.7068802677, 12, 259526, 2036095.589261394, 12, 
260850, 2055526.79237793, 13, 264649, 2090357.7672806904, 13, 261283, 1988959.524197531, 13, 261045, 2035522.4184602303, 13, 267018, 2096883.3028129854, 13, 268835, 2108936.994817948, 13, 263288, 2014504.5915391184, 13, 271599, 2118069.855559781, 13, 257904, 2026354.643819931, 13, 259526, 2019769.8956775002, 13, 
260850, 2044998.7198707538, 14, 264649, 2086100.33974789, 14, 262255, 1982413.5365712696, 14, 261326, 2018564.6096329174, 14, 267217, 2090325.4435437494, 14, 268835, 2105446.0316274143, 14, 263288, 2004973.6111562515, 14, 271599, 2109046.342491601, 14, 257904, 2019716.4450578503, 14, 259526, 2016905.8400763348, 14, 
260850, 2031747.2243933752, 15, 264649, 2070221.4654994388, 15, 264701, 2020590.0687014086, 15, 261326, 2010373.6044512878, 15, 267217, 2078311.6667419653, 15, 269172, 2098786.94753823, 15, 263288, 2001059.9320497245, 15, 271599, 2104984.7473647073, 15, 257904, 2008465.846512656, 15, 259708, 2007525.959381451, 15, 
262504, 2031239.8601728312, 16, 265574, 2062930.116773184, 16, 264701, 2014681.8441848091, 16, 261326, 2007137.3796622644, 16, 267217, 2070769.015680078, 16, 264353, 2030517.1514506438, 16, 263288, 1989595.6088100297, 16, 271599, 2101940.1266139518, 16, 257181, 1988964.8502600645, 16, 259708, 2005287.8398629003, 16, 
262504, 2025801.7419961006, 17, 265574, 2055765.2116606561, 17, 264701, 2002480.8887340894, 17, 261326, 1992686.0750393283, 17, 267217, 2056307.661331236, 17, 264353, 2020116.5878129872, 17, 263288, 1980661.348479106, 17, 271599, 2095105.9615391633, 17, 257181, 1980084.745843099, 17, 259708, 2001218.6447256033, 17, 
262504, 2018815.141905247, 18, 265574, 2049988.1302321008, 18, 264701, 1991497.063275903, 18, 261092, 1976834.836965919, 18, 266391, 2027011.358234527, 18, 264353, 2005000.9604752618, 18, 263453, 1976194.4995852544, 18, 271599, 2088887.165167828, 18, 257181, 1967030.4329086738, 18, 257493, 1980774.475899317, 18, 
262504, 2015104.7115493016, 19, 265574, 2046506.0998114818, 19, 264701, 1988232.1015146282, 19, 261092, 1971085.0139980307, 19, 266391, 2019568.4656453496, 19, 264353, 1991784.4202100397, 19, 263057, 1967040.7336090088, 19, 271599, 2080316.8041927558, 19, 258095, 1955152.503232363, 19, 259338, 1972253.4102480991, 19, 
262504, 2000959.5870169287, 20, 265574, 2039680.5878031508, 20, 264701, 1982486.199048271, 20, 262832, 1956755.6101630258, 20, 266391, 2001767.007243446, 20, 264353, 1986563.983495926, 20, 263057, 1960096.6824663135, 20, 271130, 2068732.990811597, 20, 258095, 1950095.64837245, 20, 259338, 1965557.9328595116, 20, 
262859, 1985271.1701149337, 21, 266003, 2032074.892262958, 21, 265142, 1975877.11651559, 21, 262832, 1947487.4724435678, 21, 266391, 1985320.9716589805, 21, 264353, 1979857.9106482416, 21, 264506, 1935197.0157413043, 21, 271130, 2060112.253807798, 21, 258095, 1938673.8296461217, 21, 259338, 1952750.809852018, 21, 
262859, 1980433.3193810799, 22, 266003, 2027313.11129022, 22, 265142, 1971370.6079065192, 22, 263890, 1944620.3083812885, 22, 266391, 1979741.140770324, 22, 264353, 1972527.3730612611, 22, 264685, 1933145.2009740423, 22, 271130, 2055680.8369498374, 22, 258095, 1929956.5941651426, 22, 259338, 1950954.1700708582, 22, 
261321, 1962744.7300811384, 23, 266036, 2017277.9667565348, 23, 265142, 1969122.0554933588, 23, 261599, 1923625.2532248797, 23, 266546, 1978677.2379887225, 23, 264353, 1970399.4433999984, 23, 264685, 1922776.8672556248, 23, 270446, 2045757.5967113408, 23, 258095, 1923607.3404019696, 23, 259338, 1938245.3870412477, 23, 
