46340.95000105199, 17, 3.161047919E9
46340.95000105199, 14, 3.196020252E9

First population front
Czas podrozy, Zarobek, Stworzony w generacji
49032.25165827686, 1052579, 0
49096.54959178738, 1058171, 1
50151.7508899332, 1058843, 1
50289.64927403852, 1064037, 1
50328.567148212576, 1064397, 1
50396.89718803304, 1067153, 1
50762.19900354393, 1069899, 1
51881.42002638185, 1071945, 1
51914.73558893864, 1076413, 1
55078.47907195496, 1080230, 1

Middle population front

Last population front
Czas podrozy, Zarobek, Stworzony w generacji
47795.69462623574, 1056126, 42
48143.69561311117, 1061924, 23
49020.557836390166, 1065543, 20
49430.81640372548, 1073297, 40
50528.458588513684, 1075814, 40
50942.84765495712, 1078086, 5
51557.276469164986, 1078970, 26
51713.08828169523, 1082263, 37
53436.99360441404, 1083232, 47
54132.34159751511, 1083266, 46
54382.860305640585, 1083452, 32
54433.9685486739, 1084325, 39
54885.903808725234, 1084535, 43
54974.3645054732, 1085814, 44

